ID,ADRESS,CORD
150003530,"ŻWIRKI I WIGURY 10, 63000, ŚRODA WIELKOPOLSKA","52.2274734, 17.2851337"
150003546,"ŻEROMSKIEGO 29, 64800, CHODZIEŻ","52.98770589999999, 16.9147657"
70001287,"KAROWA 2, 00315, WARSZAWA","52.2451034, 21.0221448"
70001388,"SIERAKOWSKIEGO 13 13, 03709, WARSZAWA","52.2513649, 21.0301537"
70001395,"MARSZ. JÓZEFA PIŁSUDSKIEGO 20, 05120, LEGIONOWO","52.3975586, 20.9340803"
70001471,"SADOWA 9, 06300, PRZASNYSZ","53.02976820000001, 20.8932535"
70001796,"AL. WŁ. SIKORSKIEGO 10, 26900, KOZIENICE","51.5919298, 21.5254396"
70001975,"WARSZAWSKA 4, 26600, RADOM","51.409764, 21.1543642"
70001993,"DR ANNY DOBRSKIEJ 1, 06500, MŁAWA","53.1174146, 20.3749486"
70002166,"MEDYCZNA 19, 09400, PŁOCK","52.5571935, 19.6554385"
70060968,"LEGNICKA 48/BUD F, 54202, WROCŁAW","51.116781, 16.9959327"
100000101,"KLESZCZELOWSKA 1, 17100, BIELSK PODLASKI","52.7593792, 23.2037076"
001131,"UL. SZPITALNA 2, 75720, KOSZALIN","54.18780570000001, 16.1850746"
001529,"UL. KARTUSKA 4/6, 80104, GDAŃSK","54.3507541, 18.6353774"
001555,"UL. LĘBORSKA 13, 77100, BYTÓW","54.1786014, 17.4848088"
